molid,rop18
5034,0.13
448008,0.01
449054,0.11
453216,0.01
579429,0.0
599038,0.01
766948,0.02
766949,0.0
5329404,0.03
5329489,0.04
5329801,0.01
5329802,0.02
5329829,0.02
5329831,0.03
5329849,0.0
5329850,0.3
5329853,0.0
5329854,0.5
5329855,0.11
5329857,0.0
5329860,0.0
5329861,0.06
5329868,0.02
5329875,0.01
5482344,0.01
5793317,0.36
6518526,0.03
6539046,0.24
6539047,0.15
6539049,0.05
6539056,1.0
6539075,0.38
6539081,1.01
6539085,0.29
6539086,0.34
6539087,0.68
6539089,0.98
6539093,0.0
6539097,0.0
6539099,0.01
6539107,0.85
6539108,0.1
6539361,0.02
6539364,0.02
6539369,0.05
6539382,0.01
6539385,0.02
6539390,0.02
6539397,0.02
6539409,0.01
6539411,0.13
6539412,0.31
6539413,0.04
6539414,0.17
6539417,0.01
6539418,0.0
6539422,0.49
6539424,0.39
6539430,0.35
6539439,0.02
6539440,0.34
6539451,0.06
6539453,0.04
6539466,0.0
6539478,0.01
6539482,0.04
6539487,0.01
6539502,0.02
6539521,0.02
6539522,0.01
6539567,0.01
6539574,0.0
6539584,0.03
6539592,0.06
6539593,0.03
6539597,0.0
6539598,0.01
6539599,0.05
6539600,0.03
6539603,0.01
6539607,0.01
6539611,0.03
6539617,0.27
6539620,0.05
6539751,0.01
6603857,0.07
9604911,0.05
9604912,0.02
9604915,0.0
9604922,0.01
9604926,0.01
9604940,0.03
9604943,0.0
9604948,0.08
9604958,0.03
9604970,0.05
9800117,0.07
9822610,0.01
9826308,0.03
9827373,0.22
9857146,0.29
9858084,0.18
9858662,0.45
9873849,0.11
9885504,0.03
9890357,0.01
9901444,0.01
9901964,0.61
9910722,0.07
9917474,0.03
9922527,0.05
9926067,0.22
9927432,0.12
9944269,0.23
9947709,0.03
9951300,0.01
10113568,0.04
10125875,0.02
10133732,0.02
10158653,0.0
10160775,0.01
10171618,0.04
10173796,0.19
10193464,0.76
10193482,0.02
10200651,0.01
10215776,0.03
10236195,0.0
10272700,0.18
10286242,0.02
10294883,0.46
10295475,0.03
10308522,1.22
10321190,0.06
10469531,0.03
10475737,0.02
11155941,0.01
11163861,0.05
11231939,0.01
11233873,0.02
11244488,0.06
11247002,0.02
11269477,0.08
11273032,0.04
11281930,0.09
11284937,0.04
11290221,0.05
11307581,0.04
11328632,0.0
11392350,0.02
11453116,0.02
11473228,0.02
11502866,0.02
11569498,0.0
11604319,0.3
11605761,0.01
11617559,0.0
11626927,0.0
11627264,1.39
11640889,0.26
11656050,0.04
11669455,0.14
11680113,0.0
11717091,0.58
11751266,0.03
11957417,0.01
11959377,0.03
11959682,0.01
11959683,0.02
15872388,0.02
15872391,0.01
15872400,0.01
15872403,0.01
15872404,0.05
15872406,0.01
15872407,0.02
15872408,0.0
15872409,0.0
16048194,0.01
16048303,0.03
16048415,0.02
16051023,0.01
16099859,0.04
16219401,0.03
16236469,0.02
16664858,0.02
17892742,0.29
18536613,0.01
18536627,0.03
21701565,0.01
21951965,0.04
22464113,0.15
22464120,0.31
22609796,0.01
22727427,0.11
23646936,0.04
23646938,0.0
24180608,0.03
24856364,0.0
24896610,0.03
24949545,0.02
25023715,0.0
25093474,0.02
25190921,0.02
25190924,0.02
25190926,0.02
25210971,0.0
25210972,0.0
25211574,0.03
25218571,0.05
25218573,0.04
25218584,0.0
25218593,0.01
25218600,0.43
25218601,0.18
25218614,0.07
25218621,0.03
25263078,0.05
25263083,0.01
25263087,0.09
25263088,0.01
25263092,0.02
25263099,0.24
25263103,0.03
25263110,0.02
25263114,0.02
25263115,0.04
25263116,0.03
25263117,0.01
25263118,0.07
25263119,0.01
25263120,0.01
25263123,0.09
25263124,0.08
25263274,0.02
42618163,0.05
42618164,0.01
44329036,0.04
44386338,0.08
44396990,0.05
44397010,0.05
44397032,0.01
44397147,0.02
44397201,0.0
44397250,0.06
44397453,0.02
44397710,0.01
44410704,0.04
44418532,0.02
44418533,0.01
44418539,0.01
44418540,0.01
44418545,0.02
44418546,0.02
44418547,0.0
44418555,0.01
44418556,0.02
44418572,0.11
44431824,0.01
44433171,0.09
44433173,0.03
44532204,0.18
44532523,0.03
44536036,0.04
44571414,0.01
44571435,0.04
44571449,0.07
44571453,0.02
44578253,0.01
44578254,0.01
44578255,0.02
44578401,0.01
44578425,0.01
44578563,0.01
44578672,0.02
44581222,0.26
44581245,0.0
44581765,0.0
44587530,0.41
44589696,0.1
44593640,0.05
53239955,0.21
53239967,0.85
53239978,0.21
53239984,0.04
53239985,0.01
53239988,0.02
56603966,0.02
56603973,0.02
56603975,0.03
56603980,0.03
56603987,0.02
56603995,0.06
56603997,0.01
56604000,0.11
56604005,0.03
56604006,0.01
56604013,0.03
56604020,0.06
56604024,0.09
56604030,0.01
56604034,0.02
56604044,0.02
56604049,0.04
56657596,0.15
56667992,0.23
56667993,0.02
56681565,0.01
57390087,0.2
57391091,0.03
57391092,0.05
57391093,0.03
57391094,0.54
57391095,0.04
57391096,0.0
57391097,0.04
57391875,0.02
57392873,0.02
57393604,0.03
57394599,0.01
57394600,0.03
57394601,0.02
57394602,0.06
57395310,0.0
57395317,0.0
57396350,0.03
57396351,0.02
57396352,0.0
57396353,0.0
57398144,0.13
57398145,0.06
57398146,0.03
57398147,0.0
57398148,0.01
57398149,0.01
57398150,0.0
57398151,0.0
57398152,0.0
57398153,0.02
57398154,0.02
57398861,0.02
57398866,0.05
57398867,0.07
57399798,0.04
57399799,0.0
57399800,0.02
57399801,0.03
57399802,0.05
57399803,0.05
57399804,0.03
57399805,0.07
57400541,0.03
57400542,0.14
57400544,0.01
57400545,0.01
57401572,0.02
57401573,0.0
57401574,0.02
57401575,0.05
57403316,0.02
57403317,0.02
57403318,0.01
57403319,0.01
57403320,0.27
70682205,0.01
70696859,0.06
