1,pknb
model,inf_hits,hits_recovered,tot_hits,NEF10
b_cs,0,0,8,fail
b_cl,0,0,8,fail
b_cw,0,1,8,0.513888888889
b_bs,2,7,8,0.930555555556
b_bl,2,7,8,0.930555555556
b_bw,2,7,8,0.930555555556
RS,0,7,8,0.930555555556
CS,2,2,8,0.583333333333
AS,3,3,8,0.652777777778

1,bglf4
model,inf_hits,hits_recovered,tot_hits,NEF10
b_cs,1,3,11,0.59595959596
b_cl,1,3,11,0.59595959596
b_cw,1,3,11,0.59595959596
b_bs,6,9,11,0.89898989899
b_bl,6,9,11,0.848484848485
b_bw,6,9,11,0.89898989899
RS,3,3,11,0.59595959596
CS,7,7,11,0.79797979798
AS,4,10,11,0.949494949495

2,pknb
model,inf_hits,hits_recovered,tot_hits,NEF10
b_cs,0,0,7,fail
b_cl,0,0,7,fail
b_cw,0,0,7,0.444444444444
b_bs,1,1,7,0.52380952381
b_bl,1,1,7,0.52380952381
b_bw,1,1,7,0.52380952381
RS,0,2,7,0.603174603175
CS,1,3,7,0.68253968254
AS,1,1,7,0.52380952381

2,bglf4
model,inf_hits,hits_recovered,tot_hits,NEF10
b_cs,0,0,10,fail
b_cl,0,0,10,fail
b_cw,0,1,10,0.5
b_bs,1,1,10,fail
b_bl,1,1,10,fail
b_bw,1,1,10,0.5
RS,1,8,10,0.888888888889
CS,1,3,10,0.611111111111
AS,0,1,10,0.5

